ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
11,Ryan,Henderson,-20,Male,78,0,0,3,4,10,ENTJ,What happened to your right leg?,I crippled my right leg when I was 25,Who was your first friend?,My first friend was Matilda Potter,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 3 wonderful children!,Farmer,1
12,Allan,Mcshane,-20,Male,69,0,0,5,4,1,ENFJ,How long have you been friends with Cole?,I've been friends with Cole since I was 21,What happened to your right arm?,I lost my right arm when I was 54,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Katie Merrilees?,No. Katie and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Smith,1
13,Richard,Mcneil,-20,Male,69,0,0,5,4,3,ESFJ,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ava Mcshane,Do you have any injuries to your head?,I've never had any serious injuries to my head,Farmer,1
14,Kian,Potter,-20,Male,29,0,0,3,4,6,INTJ,How old were you when you married Matilda?,I married Matilda when I was 21 and they were 21,What happened to your torso?,I scarred my torso when I was 22,How long have you been friends with Callum?,I've been friends with Callum since I was 22,What happened to your torso?,I lost my torso when I was 29,How old was your mother when she died?,My mother was 99 when she died,Farmer,1
15,Bryan,Syme,-20,Male,56,0,0,4,4,5,INFJ,Do you get along well with Lena?,I talked to Lena when I was 23 but we didn't work as friends,How long have you been friends with Katie?,I've been friends with Katie since I was 25,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Richard Mcneil?,No. Richard and I don't share any friends,Farmer,1
16,Cole,Merrilees,-20,Male,78,0,0,2,4,2,ENTP,Do you get along well with Richard?,I talked to Richard when I was 21 but we didn't work as friends,What happened to your left arm?,I scarred my left arm when I was 31,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Soldier,1
17,Max,Carty,-20,Male,76,0,0,4,4,8,ENFP,How old were you when you married Stacy?,I married Stacy when I was 21 and they were 21,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Katie Merrilees,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Farmer,1
18,Jay,Lambert,-20,Male,88,0,0,0,4,Single,ENTP,What happened to your torso?,I burned my torso when I was 34,What happened to your right arm?,I burned my right arm when I was 35,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Bryan Meldrum?,Yes. We have 1 shared friend. It's Ryan Henderson,Soldier,1
19,Callum,Kavanagh,-20,Male,26,0,0,5,3,4,ISTJ,What happened to your torso?,I lost my torso when I was 26,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 3 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Farmer,1
20,Bryan,Meldrum,-20,Male,82,0,0,0,4,Single,ENFP,Who was your first friend?,My first friend was Jay Lambert,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Farmer,1
21,Jason,Merrilees,3,Male,94,2,16,4,4,24,ENTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 21,Do you have any shared friends with Bryan Meldrum?,No. Bryan and I don't share any friends,Who were your parents?,My mother was Katie and my father was Cole,How many friends do you have?,I have 4 friends,Farmer,2
22,Kathryn,Henderson,3,Female,75,6,14,0,4,38,INTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 29 when he died,Who was your first friend?,My first friend was Cole Merrilees,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Toni who was born 1 years after me,Housewife,2
23,Scott,Mcshane,4,Male,72,1,12,3,3,29,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I burned my left leg when I was 69,How old was your mother when she died?,My mother was 71 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Soldier,2
24,Toni,Merrilees,4,Female,74,6,14,4,4,21,INTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Jay Lambert?,No. Jay and I don't share any friends,Who were your parents?,My mother was Matilda and my father was Kian,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Weaver,2
25,John,Carty,4,Male,49,8,17,5,4,31,ESFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right arm?,I burned my right arm when I was 17,How old was your father when he died?,My father was 76 when he died,Who was your first friend?,My first friend was Lena Merrilees,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Evelyn who was born 8 years after me,Smith,2
26,Allan,Henderson,4,Male,86,10,11,4,4,28,ESTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right leg?,I crippled my right leg when I was 49,How old was your mother when she died?,My mother was 82 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Soldier,2
27,Jay,Mcneil,5,Male,71,3,13,5,4,30,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any shared friends with Max Carty?,No. Max and I don't share any friends,Who were your parents?,My mother was Gracie and my father was Richard,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Farmer,2
28,Amanda,Henderson,5,Female,79,4,19,4,4,26,ISTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your father when he died?,My father was 26 when he died,Who was your first friend?,My first friend was Toni Merrilees,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Hollie who was born 5 years after me,How old was your mother when she died?,My mother was 82 when she died,Housewife,2
29,Denise,Mcshane,6,Female,79,3,13,3,4,23,ISFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Bryan Syme?,No. Bryan and I don't share any friends,Who were your parents?,My mother was Gracie and my father was Richard,Weaver,2
30,Robyn,Mcneil,9,Female,85,1,12,5,4,27,ENFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 69 when he died,Who was your first friend?,My first friend was Jay Mcneil,Farmer,2
31,Melissa,Carty,10,Female,74,1,12,5,4,25,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Scott who was born in the year 4,How old was your mother when she died?,My mother was 71 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Housewife,2
32,Hollie,Kavanagh,10,Female,80,4,19,3,4,37,ISTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 58,Do you have any shared friends with Kate Low?,No. Kate and I don't share any friends,Who were your parents?,My mother was Kelsey and my father was Callum,How many friends do you have?,I have 4 friends,Housewife,2
33,Roderick,Mcshane,11,Male,71,1,12,4,4,34,ENFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Alana?,I married Alana when I was 19 and they were 18,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 69 when he died,Who was your first friend?,My first friend was John Carty,Hunter,2
34,Alana,Mcshane,11,Female,77,3,13,4,4,33,ESFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 19,What is your eldest sibling's age?,My eldest sibling is Jay who was born in the year 5,How old was your mother when she died?,My mother was 81 when she died,Do you have any children?,I have 4 wonderful children!,Weaver,2
35,Evelyn,Carty,12,Female,80,8,17,4,4,36,ESFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I burned my right arm when I was 32,What happened to your torso?,I crippled my torso when I was 47,What happened to your left arm?,I scarred my left arm when I was 56,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Farmer,2
36,Charles,Carty,15,Male,78,8,17,4,4,35,ENFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 19,Do you have any shared friends with Robyn Mcneil?,No. Robyn and I don't share any friends,Who were your parents?,My mother was Stacy and my father was Max,How many friends do you have?,I have 4 friends,Soldier,2
37,Elijah,Kavanagh,17,Male,48,4,19,3,4,32,ISTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left arm?,I burned my left arm when I was 18,How old were you when you married Hollie?,I married Hollie when I was 18 and they were 25,What happened to your right leg?,I burned my right leg when I was 20,Do you have any siblings?,Yes. I actually have 4 siblings,Soldier,2
38,Kyle,Henderson,17,Male,83,10,11,0,4,22,ENTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 34,How old was your father when he died?,My father was 78 when he died,Who was your first friend?,My first friend was Jason Merrilees,What is your eldest sibling's age?,My eldest sibling is Allan who was born in the year 4,Hunter,2
39,Hazel,Mcshane,19,Female,56,3,13,4,4,45,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I burned my right leg when I was 17,What happened to your torso?,I lost my torso when I was 56,How old was your mother when she died?,My mother was 81 when she died,Do you have any children?,I have 4 wonderful children!,Farmer,2
40,Eric,Henderson,19,Male,70,10,11,0,4,Single,ENTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I burned my torso when I was 32,What happened to your left leg?,I crippled my left leg when I was 40,What happened to your left arm?,I lost my left arm when I was 68,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Smith,2
41,Stephanie,Potter,20,Female,80,2,16,2,4,43,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Bryan Meldrum?,No. Bryan and I don't share any friends,Who were your parents?,My mother was Katie and my father was Cole,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,Weaver,2
42,Alexis,Kavanagh,20,Female,74,5,15,4,4,44,ISFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your father when he died?,My father was 56 when he died,Who was your first friend?,My first friend was Melissa Carty,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Elliot who was born 4 years after me,How old was your mother when she died?,My mother was 80 when she died,Weaver,2
43,Garry,Potter,20,Male,79,6,14,2,4,41,INTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your torso?,I scarred my torso when I was 30,What happened to your left leg?,I crippled my left leg when I was 54,What happened to your left arm?,I crippled my left arm when I was 72,Do you have any children?,I have 2 wonderful children!,Hunter,2
44,Lachlan,Kavanagh,21,Male,79,4,19,4,4,42,ISTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 35,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Elijah Kavanagh?,No. Elijah and I don't share any friends,Who were your parents?,My mother was Kelsey and my father was Callum,Soldier,2
45,Innes,Mcshane,22,Male,78,1,12,4,4,39,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 69 when he died,Who was your first friend?,My first friend was Alexis Kavanagh,Hunter,2
46,Rhys,Mcneil,24,Male,76,3,13,5,4,49,ISFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I lost my left leg when I was 69,What is your eldest sibling's age?,My eldest sibling is Jay who was born in the year 5,How old was your mother when she died?,My mother was 81 when she died,Do you have any children?,I have 5 wonderful children!,Farmer,2
47,Elliot,Syme,24,Male,76,5,15,0,4,50,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I crippled my left leg when I was 52,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Hope Mcneil?,Yes. We have 1 shared friend. It's Rhys Mcneil,Who were your parents?,My mother was Ashley and my father was Bryan,Soldier,2
48,Jennifer,Mcneil,24,Female,75,8,17,2,4,55,ESFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 37,What happened to your left leg?,I scarred my left leg when I was 69,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Housewife,2
49,Hope,Mcneil,24,Female,76,28,26,5,4,46,ISTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your father when he died?,My father was 86 when he died,Who was your first friend?,My first friend was Elliot Syme,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Aria who was born 10 years after me,How old was your mother when she died?,My mother was 79 when she died,Housewife,3
50,Esme,Syme,26,Female,74,5,15,0,4,47,INFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your torso?,I scarred my torso when I was 40,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Lachlan Kavanagh?,No. Lachlan and I don't share any friends,Weaver,2
51,Blake,Kavanagh,27,Male,17,4,19,0,3,Single,ISTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Who were your parents?,My mother was Kelsey and my father was Callum,How many friends do you have?,I have 3 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 26 when he died,Farmer,2
52,Melissa,Mcneil,27,Female,73,5,15,2,4,56,ISFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who was your first friend?,My first friend was Esme Syme,What is your eldest sibling's age?,My eldest sibling is Alexis who was born in the year 20,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I have 2 wonderful children!,Housewife,2
53,Riley,Merrilees,28,Male,72,24,21,0,4,9,INTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your torso?,I scarred my torso when I was 35,What happened to your right arm?,I burned my right arm when I was 39,How old was your mother when she had you?,My mother was 24 years old when she had me,Do you have any shared friends with Elijah Kavanagh?,No. Elijah and I don't share any friends,Hunter,3
54,Ayla,Carty,31,Female,69,34,33,4,4,59,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Who were your parents?,My mother was Alana and my father was Roderick,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 71 when he died,Farmer,3
55,Cameron,Mcneil,32,Male,53,30,27,2,4,48,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Who was your first friend?,My first friend was Ayla Carty,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Frank who was born 1 years after me,How old was your mother when she died?,My mother was 85 when she died,Do you have any children?,I have 2 wonderful children!,Farmer,3
56,Frank,Mcneil,33,Male,67,30,27,2,4,52,ESFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 16,How old were you when you married Melissa?,I married Melissa when I was 18 and they were 24,What happened to your left leg?,I burned my left leg when I was 48,What happened to your left arm?,I lost my left arm when I was 51,Smith,3
57,Aria,Mcshane,34,Female,66,28,26,3,4,64,ESTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she had you?,My mother was 29 years old when she had me,Do you have any shared friends with Melissa Mcneil?,No. Melissa and I don't share any friends,Who were your parents?,My mother was Amanda and my father was Allan,How many friends do you have?,I have 4 friends,Weaver,3
58,Matilda,Carty,37,Female,63,24,21,3,4,74,ENTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 94 when he died,Who was your first friend?,My first friend was Fraser Carty,What is your eldest sibling's age?,My eldest sibling is Riley who was born in the year 28,Farmer,3
59,Eric,Carty,37,Male,63,31,25,4,4,54,ESFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I burned my torso when I was 44,What happened to your left leg?,I scarred my left leg when I was 57,What happened to your left arm?,I scarred my left arm when I was 60,How old was your mother when she died?,My mother was 74 when she died,Farmer,3
60,Sophia,Mcshane,37,Female,63,34,33,4,4,69,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any children?,I have 4 wonderful children!,How old was your mother when she had you?,My mother was 26 years old when she had me,Do you have any shared friends with Kathryn Henderson?,No. Kathryn and I don't share any friends,Who were your parents?,My mother was Alana and my father was Roderick,Weaver,3
61,Christine,Merrilees,38,Female,62,24,21,0,4,Single,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 94 when he died,Who was your first friend?,My first friend was Jennifer Mcneil,Weaver,3
62,Fraser,Carty,39,Male,61,31,25,5,4,68,ESFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 49,What is your eldest sibling's age?,My eldest sibling is Eric who was born in the year 37,How old was your mother when she died?,My mother was 74 when she died,Do you have any children?,I have 5 wonderful children!,Hunter,3
63,Libby,Kavanagh,39,Female,61,32,37,0,4,Single,ISTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 39,How old was your mother when she had you?,My mother was 29 years old when she had me,Do you have any shared friends with Cole Merrilees?,No. Cole and I don't share any friends,Who were your parents?,My mother was Hollie and my father was Elijah,Housewife,3
64,Aiden,Mcshane,41,Male,51,29,23,3,4,57,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old were you when you married Aria?,I married Aria when I was 18 and they were 25,What happened to your left arm?,I scarred my left arm when I was 30,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Farmer,3
65,Julie,Henderson,41,Female,59,42,44,4,4,73,ISTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Euan Mcshane,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Callum who was born 15 years after me,How old was your mother when she died?,My mother was 74 when she died,Housewife,3
66,Lola,Carty,42,Female,58,24,21,0,4,83,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 38 years old when she had me,Do you have any shared friends with Lilly Mcshane?,No. Lilly and I don't share any friends,Who were your parents?,My mother was Toni and my father was Jason,Weaver,3
67,Lilly,Mcshane,42,Female,58,28,26,2,4,70,ESTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 86 when he died,Who was your first friend?,My first friend was Lola Carty,Housewife,3
68,Linsey,Carty,43,Female,57,29,23,5,4,62,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 23,What happened to your left arm?,I crippled my left arm when I was 45,What is your eldest sibling's age?,My eldest sibling is Aiden who was born in the year 41,How old was your mother when she died?,My mother was 79 when she died,Farmer,3
69,Euan,Mcshane,43,Male,57,39,45,4,4,60,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Sophia?,I married Sophia when I was 18 and they were 24,What happened to your torso?,I burned my torso when I was 30,Do you have any children?,I have 4 wonderful children!,How old was your mother when she had you?,My mother was 24 years old when she had me,Soldier,3
70,Allan,Mcshane,44,Male,56,39,45,2,4,67,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your left leg?,I burned my left leg when I was 42,Do you have any shared friends with Aria Mcshane?,No. Aria and I don't share any friends,Who were your parents?,My mother was Hazel and my father was Innes,How many friends do you have?,I have 4 friends,Hunter,3
71,Nicola,Mcshane,45,Female,55,31,25,0,4,72,ESFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 49 when he died,Who was your first friend?,My first friend was Allan Mcshane,What is your eldest sibling's age?,My eldest sibling is Eric who was born in the year 37,Weaver,3
72,Luca,Mcshane,45,Male,34,34,33,0,4,71,ESFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old was your mother when she died?,My mother was 77 when she died,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 34 years old when she had me,Do you have any shared friends with Aiden Mcshane?,No. Aiden and I don't share any friends,Smith,3
73,Alan,Henderson,46,Male,54,28,26,4,4,65,ESTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who were your parents?,My mother was Amanda and my father was Allan,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 86 when he died,Hunter,3
74,Max,Carty,46,Male,54,35,36,3,4,58,ENFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,Who was your first friend?,My first friend was Cameron Mcneil,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Isaac who was born 4 years after me,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I have 3 wonderful children!,Soldier,3
75,Campbell,Mcshane,46,Male,54,39,45,3,4,76,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old was your mother when she had you?,My mother was 27 years old when she had me,Do you have any shared friends with Aria Mcshane?,No. Aria and I don't share any friends,Who were your parents?,My mother was Hazel and my father was Innes,How many friends do you have?,I have 4 friends,Soldier,3
76,Aoife,Mcshane,47,Female,53,31,25,3,4,75,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 49 when he died,Who was your first friend?,My first friend was Melissa Mcneil,What is your eldest sibling's age?,My eldest sibling is Eric who was born in the year 37,Housewife,3
77,Joseph,Carty,49,Male,27,31,25,5,4,79,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your mother when she died?,My mother was 74 when she died,Do you have any children?,I have 5 wonderful children!,How old was your mother when she had you?,My mother was 39 years old when she had me,Do you have any shared friends with Max Carty?,Yes. We have 1 shared friend. It's Linsey Carty,Farmer,3
78,Callum,Kavanagh,49,Male,51,32,37,3,4,82,ISTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 23,Who were your parents?,My mother was Hollie and my father was Elijah,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Hunter,3
79,Hallie,Carty,49,Female,51,34,33,5,4,77,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your father when he died?,My father was 71 when he died,Who was your first friend?,My first friend was Campbell Mcshane,What is your eldest sibling's age?,My eldest sibling is Ayla who was born in the year 31,How old was your mother when she died?,My mother was 77 when she died,Housewife,3
80,Mark,Mcneil,49,Male,51,49,46,0,4,Single,ISTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 25 years old when she had me,Do you have any shared friends with Luca Mcshane?,No. Luca and I don't share any friends,Who were your parents?,My mother was Hope and my father was Rhys,Hunter,3
81,Robbie,Mcneil,50,Male,50,30,27,2,4,84,ESFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right leg?,I lost my right leg when I was 45,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 71 when he died,Smith,3
