ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job
12,Pamela,Stanners,-20,Female,78,0,0,1,4,69,ENFJ,Do you get along well with Lena?,I talked to Lena when I was 23 but we didn't work as friends,What happened to your left leg?,I scarred my left leg when I was 55,What happened to your left arm?,I scarred my left arm when I was 58,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Weaver
13,Catherine,Ritchie,-20,Female,71,0,0,3,4,63,ESFJ,How long have you been friends with Maisie?,I've been friends with Maisie since I was 21,What happened to your left leg?,I scarred my left leg when I was 34,What happened to your torso?,I scarred my torso when I was 45,What happened to your left arm?,I scarred my left arm when I was 63,Do you have any shared friends with Maisie Crombie?,No. Maisie and I don't share any friends,Weaver
14,Shannon,Bates,-20,Female,78,0,0,5,4,64,INTJ,What happened to your left arm?,I scarred my left arm when I was 30,What happened to your torso?,I burned my torso when I was 31,What happened to your left leg?,I scarred my left leg when I was 44,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Weaver
15,Shelley,Grierson,-20,Female,80,0,0,3,4,65,INFJ,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Greig Wales,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Weaver
16,Eilidh,Niven,-20,Female,73,0,0,3,4,60,ENTP,How long have you been friends with Shannon?,I've been friends with Shannon since I was 21,What happened to your left leg?,I scarred my left leg when I was 38,What happened to your right leg?,I scarred my right leg when I was 45,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Housewife
17,Ann,Gault,-20,Female,75,0,0,5,4,66,ENFP,Do you have any shared friends with Beth Wales?,Yes. We have 1 shared friend, Wesley Hampson,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Housewife
18,Frances,Compton,-20,Female,90,0,0,4,4,70,ENTP,How long have you been friends with Shannon?,I've been friends with Shannon since I was 21,Do you get along well with Jay?,I talked to Jay when I was 22 but we didn't work as friends,Do you get along well with Kate?,I talked to Kate when I was 24 but we didn't work as friends,What happened to your left arm?,I scarred my left arm when I was 73,Who was your first friend?,My first friend was Shannon Bates,Housewife
19,Audrey,Mcglone,-20,Female,76,0,0,0,4,67,ISTJ,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Shannon Bates?,No. Shannon and I don't share any friends,Housewife
20,Clare,Nelson,-20,Female,76,0,0,2,4,73,ENFP,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Maisie Crombie,Housewife
21,Ava,Cahill,-20,Female,80,0,0,0,4,77,INFP,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Greig Wales?,No. Greig and I don't share any friends,Housewife
22,Mirren,Mclay,-20,Female,84,0,0,3,4,71,ESTJ,What happened to your right arm?,I crippled my right arm when I was 35,What happened to your left arm?,I crippled my left arm when I was 43,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Weaver
23,Alexandra,Mcghie,-20,Female,75,0,0,5,4,75,ENTP,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Garry Fuller,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 5 wonderful children!,Weaver
24,Hayley,Garner,-20,Female,77,0,0,4,4,68,ISFP,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Linsey Roy?,No. Linsey and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Housewife
25,Wendy,Skinner,-20,Female,73,0,0,4,4,72,ISTJ,How long have you been friends with Sam?,I've been friends with Sam since I was 21,Do you get along well with Lewis?,I talked to Lewis when I was 22 but we didn't work as friends,How long have you been friends with Ruairidh?,I've been friends with Ruairidh since I was 23,What happened to your torso?,I crippled my torso when I was 24,How old was your father when he died?,My father was 99 when he died,Weaver
26,Cora,Noon,-20,Female,78,0,0,2,4,79,ISTP,How long have you been friends with Alfie?,I've been friends with Alfie since I was 23,What happened to your torso?,I scarred my torso when I was 39,What happened to your left leg?,I scarred my left leg when I was 47,What happened to your right arm?,I crippled my right arm when I was 49,Who was your first friend?,My first friend was Henry Fay,Weaver
27,Carla,Evans,-20,Female,83,0,0,3,4,74,ESTJ,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Georgia Ferry?,No. Georgia and I don't share any friends,Housewife
28,Ivy,Learmonth,-20,Female,80,0,0,1,4,76,ISFP,How long have you been friends with Garry?,I've been friends with Garry since I was 21,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Housewife
29,Linsey,Roy,-20,Female,87,0,0,5,4,80,ISFJ,How long have you been friends with Kelsey?,I've been friends with Kelsey since I was 21,Who was your first friend?,My first friend was Hayley Garner,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 5 wonderful children!,Housewife
30,Charlotte,Cheung,-20,Female,78,0,0,2,4,81,INTJ,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Eilidh Niven?,No. Eilidh and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Housewife
31,Victoria,Brewster,-20,Female,85,0,0,2,4,82,ENFJ,How long have you been friends with Harry?,I've been friends with Harry since I was 23,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Lily Mcrae,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Housewife
32,Jill,Hosie,-20,Female,89,0,0,3,4,85,INFJ,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Pamela Stanners?,No. Pamela and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Housewife
33,Matilda,Muldoon,-20,Female,98,0,0,5,4,84,ESTJ,What happened to your torso?,I scarred my torso when I was 38,What happened to your torso?,I crippled my torso when I was 85,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Elijah Evans,Weaver
34,Lee,Drummond,-20,Female,91,0,0,4,4,86,ENFJ,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Beth Wales?,No. Beth and I don't share any friends,Weaver
35,Keira,Tariq,-20,Female,72,0,0,4,4,78,ENTP,Do you get along well with Kate?,I talked to Kate when I was 22 but we didn't work as friends,What happened to your left leg?,I scarred my left leg when I was 48,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Weaver
36,Ruby,Stephen,-20,Female,77,0,0,4,4,91,ESFJ,What happened to your left arm?,I scarred my left arm when I was 22,What happened to your left leg?,I scarred my left leg when I was 32,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Gerard Stephen,Do you have any injuries to your head?,I've never had any serious injuries to my head,Weaver
37,Abbi,Mcdonough,-20,Female,82,0,0,5,4,93,ESTJ,How long have you been friends with Jonathan?,I've been friends with Jonathan since I was 22,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Matilda Muldoon?,No. Matilda and I don't share any friends,Housewife
38,Maisie,Crombie,-20,Female,92,0,0,2,4,83,ESTP,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Catherine Ritchie,Weaver
39,Jordan,Mcmahon,-20,Female,75,0,0,4,4,87,INFJ,How long have you been friends with Shay?,I've been friends with Shay since I was 23,What happened to your left arm?,I scarred my left arm when I was 32,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Weaver
40,Georgia,Ferry,-20,Female,83,0,0,3,4,88,ESTP,Do you get along well with Linsey?,I talked to Linsey when I was 21 but we didn't work as friends,What happened to your left arm?,I scarred my left arm when I was 42,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Carla Evans?,No. Carla and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Housewife
41,Jill,Rodden,-20,Female,83,0,0,1,4,97,INFP,What happened to your torso?,I scarred my torso when I was 73,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Katie Hampson,Weaver
42,Eden,Brownlie,-20,Female,88,0,0,3,4,89,ISTP,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Georgia Ferry?,No. Georgia and I don't share any friends,Housewife
43,Victoria,Rowe,-20,Female,84,0,0,2,4,92,ISFP,What happened to your torso?,I scarred my torso when I was 75,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Weaver
44,Kayleigh,Dryden,-20,Female,93,0,0,5,4,95,ENFJ,How long have you been friends with Stacy?,I've been friends with Stacy since I was 21,How long have you been friends with Victoria?,I've been friends with Victoria since I was 23,Who was your first friend?,My first friend was Stacy Duncanson,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Housewife
45,Maisie,Fuller,-20,Female,78,0,0,4,4,94,ISTP,What happened to your right leg?,I scarred my right leg when I was 57,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Carla Evans?,No. Carla and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Housewife
46,Ruby,Glendinning,-20,Female,85,0,0,2,4,90,ENFP,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Victoria Rowe,Do you have any injuries to your head?,I've never had any serious injuries to my head,Housewife
47,Lara,Main,-20,Female,72,0,0,1,4,96,INFJ,What happened to your left arm?,I scarred my left arm when I was 29,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Pamela Stanners?,No. Pamela and I don't share any friends,Weaver
48,Ariana,Mutch,-20,Female,74,0,0,0,4,Single,ENTJ,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Keira Tariq,Housewife
49,Julia,Hewitt,-20,Female,76,0,0,5,4,98,ENFP,How long have you been friends with Benjamin?,I've been friends with Benjamin since I was 22,How long have you been friends with Brodie?,I've been friends with Brodie since I was 23,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 5 wonderful children!,Housewife
50,Beth,Wales,-20,Female,80,0,0,4,4,99,ESFP,What happened to your torso?,I scarred my torso when I was 51,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Ann Gault?,Yes. We have 1 shared friend, Wesley Hampson,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Weaver
51,Jay,Hair,-20,Male,38,0,0,3,4,1,ESFJ,What happened to your right arm?,I crippled my right arm when I was 21,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ryan Hewitt,Do you have any injuries to your head?,I've never had any serious injuries to my head,Farmer
52,Shay,Holt,-20,Male,74,0,0,4,4,4,INTP,Do you get along well with Benjamin?,I talked to Benjamin when I was 22 but we didn't work as friends,What happened to your left arm?,I scarred my left arm when I was 59,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Soldier
53,Wesley,Hampson,-20,Male,88,0,0,1,4,2,ENFJ,What happened to your right leg?,I crippled my right leg when I was 62,Do you have any shared friends with Beth Wales?,Yes. We have 1 shared friend, Ann Gault,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Farmer
54,Henry,Fay,-20,Male,71,0,0,1,4,3,ISFJ,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Cora Noon,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Soldier
55,Zak,Morris,-20,Male,75,0,0,1,4,6,INTP,Do you get along well with Ashley?,I talked to Ashley when I was 22 but we didn't work as friends,How long have you been friends with Brodie?,I've been friends with Brodie since I was 23,What happened to your right arm?,I scarred my right arm when I was 56,What happened to your torso?,I burned my torso when I was 63,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Soldier
56,Alfie,Mcrae,-20,Male,75,0,0,1,4,10,ESTJ,What happened to your left arm?,I burned my left arm when I was 38,Do you have any shared friends with Ava Hair?,No. Ava and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Soldier
57,Brodie,Mclaren,-20,Male,68,0,0,1,4,5,ISFP,What happened to your right leg?,I burned my right leg when I was 22,What happened to your right leg?,I lost my right leg when I was 25,What happened to your left leg?,I scarred my left leg when I was 41,What happened to your torso?,I scarred my torso when I was 50,How old was your father when he died?,My father was 99 when he died,Farmer
58,Stewart,Little,-20,Male,71,0,0,5,4,11,ENTJ,How long have you been friends with Zak?,I've been friends with Zak since I was 24,What happened to your left arm?,I scarred my left arm when I was 26,Who was your first friend?,My first friend was Shelley Grierson,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Soldier
59,Ruairidh,Bingham,-20,Male,78,0,0,1,4,9,INTP,What happened to your right leg?,I burned my right leg when I was 60,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Keira Tariq?,No. Keira and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Soldier
60,Samuel,Niven,-20,Male,81,0,0,3,4,16,ENTP,Do you get along well with Benjamin?,I talked to Benjamin when I was 21 but we didn't work as friends,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Lynne Little,Farmer
61,Lewis,Cassidy,-20,Male,85,0,0,1,4,7,INFP,How long have you been friends with Alexandra?,I've been friends with Alexandra since I was 24,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Soldier
62,Kenneth,Duncanson,-20,Male,77,0,0,2,4,8,ESTP,How old were you when you married Stacy?,I married Stacy when I was 21 and they were 21,Do you have any shared friends with Jonathan Crombie?,No. Jonathan and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Soldier
63,Aaron,Ritchie,-20,Male,25,0,0,3,4,13,ESFP,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Jake Mclay,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 3 wonderful children!,Smith
64,Sam,Bates,-20,Male,68,0,0,5,4,14,INTJ,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Lena Bingham?,No. Lena and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Soldier
65,Charles,Grierson,-20,Male,92,0,0,3,4,15,INTJ,Do you get along well with Julia?,I talked to Julia when I was 21 but we didn't work as friends,How long have you been friends with Ruairidh?,I've been friends with Ruairidh since I was 23,What happened to your torso?,I burned my torso when I was 36,What happened to your left leg?,I crippled my left leg when I was 53,How old was your father when he died?,My father was 99 when he died,Soldier
66,Bruce,Gault,-20,Male,75,0,0,5,4,17,ESFP,How long have you been friends with Alastair?,I've been friends with Alastair since I was 21,How long have you been friends with Lily?,I've been friends with Lily since I was 22,What happened to your left leg?,I burned my left leg when I was 46,Who was your first friend?,My first friend was Alastair Thow,Do you have any injuries to your head?,I've never had any serious injuries to my head,Soldier
67,Cooper,Mcglone,-20,Male,58,0,0,0,4,19,ISTP,What happened to your right leg?,I scarred my right leg when I was 22,What happened to your left arm?,I burned my left arm when I was 27,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Smith
68,Zak,Garner,-20,Male,88,0,0,4,4,24,ISFJ,What happened to your left arm?,I scarred my left arm when I was 58,Do you have any shared friends with Carla Evans?,No. Carla and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Soldier
69,Wayne,Stanners,-20,Male,71,0,0,1,4,12,ENTJ,How old were you when you married Pamela?,I married Pamela when I was 21 and they were 21,What happened to your right leg?,I lost my right leg when I was 45,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Wesley Hampson,Do you have any injuries to your head?,I've never had any serious injuries to my head,Farmer
70,Innes,Compton,-20,Male,70,0,0,4,4,18,ENFP,How old were you when you married Frances?,I married Frances when I was 21 and they were 21,How long have you been friends with Samuel?,I've been friends with Samuel since I was 21,What happened to your left leg?,I scarred my left leg when I was 26,What happened to your left arm?,I scarred my left arm when I was 34,How old was your mother when she died?,My mother was 99 when she died,Soldier
71,Jake,Mclay,-20,Male,86,0,0,3,4,22,ESFJ,How old were you when you married Mirren?,I married Mirren when I was 21 and they were 21,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Aaron Ritchie?,No. Aaron and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Soldier
72,Alasdair,Skinner,-20,Male,32,0,0,4,4,25,ISTJ,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Harry Mcghie,Do you have any injuries to your head?,I've never had any serious injuries to my head,Smith
73,Ruairidh,Nelson,-20,Male,79,0,0,2,4,20,INFP,How old were you when you married Clare?,I married Clare when I was 21 and they were 21,What happened to your left leg?,I crippled my left leg when I was 45,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Farmer
74,Elijah,Evans,-20,Male,58,0,0,3,4,27,ESFJ,How long have you been friends with Sean?,I've been friends with Sean since I was 21,What happened to your left arm?,I scarred my left arm when I was 32,Do you have any shared friends with Matilda Muldoon?,No. Matilda and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Smith
75,Harry,Mcghie,-20,Male,74,0,0,5,4,23,ENTJ,How old were you when you married Alexandra?,I married Alexandra when I was 21 and they were 21,How long have you been friends with Samuel?,I've been friends with Samuel since I was 22,What happened to your left leg?,I crippled my left leg when I was 23,What happened to your right leg?,I burned my right leg when I was 34,What happened to your left leg?,I lost my left leg when I was 74,Smith
76,Wayne,Learmonth,-20,Male,47,0,0,1,4,28,ESFP,How long have you been friends with Georgia?,I've been friends with Georgia since I was 21,What happened to your left arm?,I crippled my left arm when I was 32,What happened to your left leg?,I lost my left leg when I was 39,What happened to your torso?,I lost my torso when I was 47,Do you have any siblings?,No. I'm an only child,Smith
77,Evan,Cahill,-20,Male,73,0,0,0,4,21,ISFP,How long have you been friends with Aaron?,I've been friends with Aaron since I was 22,What happened to your left leg?,I scarred my left leg when I was 40,What happened to your torso?,I lost my torso when I was 73,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ruairidh Bingham,Smith
78,Reece,Tariq,-20,Male,73,0,0,4,4,35,ENTP,How long have you been friends with Aaron?,I've been friends with Aaron since I was 23,What happened to your right leg?,I burned my right leg when I was 72,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Farmer
79,Barrie,Noon,-20,Male,85,0,0,2,4,26,ISTJ,What happened to your left leg?,I crippled my left leg when I was 44,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Georgia Ferry?,No. Georgia and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Smith
80,Benjamin,Roy,-20,Male,55,0,0,5,4,29,ESFJ,What happened to your right arm?,I scarred my right arm when I was 27,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Henry Fay,Do you have any injuries to your head?,I've never had any serious injuries to my head,Smith
81,Mohammed,Cheung,-20,Male,91,0,0,2,4,30,INTJ,How old were you when you married Charlotte?,I married Charlotte when I was 21 and they were 21,How long have you been friends with Audrey?,I've been friends with Audrey since I was 23,What happened to your right leg?,I burned my right leg when I was 32,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Smith
82,Timothy,Brewster,-20,Male,78,0,0,2,4,31,ENFP,How old were you when you married Victoria?,I married Victoria when I was 21 and they were 21,Do you get along well with Jax?,I talked to Jax when I was 22 but we didn't work as friends,What happened to your right leg?,I scarred my right leg when I was 37,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Alastair Thow?,No. Alastair and I don't share any friends,Farmer
83,Jonathan,Crombie,-20,Male,84,0,0,2,4,38,ISTP,What happened to your torso?,I scarred my torso when I was 31,What happened to your right leg?,I crippled my right leg when I was 32,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Soldier
