ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job
36,Marc,Lang,-20,Male,77,0,0,2,4,1,ESFJ,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Wesley Hampson?,No. Wesley and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Farmer
37,Matthew,Mccrory,-20,Male,92,0,0,2,4,10,ESTJ,How long have you been friends with Kenneth?,I've been friends with Kenneth since I was 23,What happened to your left leg?,I scarred my left leg when I was 44,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Victoria Stanners,Soldier
38,William,Frame,-20,Male,80,0,0,2,4,4,ESTP,What happened to your left leg?,I scarred my left leg when I was 36,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Farmer
39,Riley,Thomas,-20,Male,81,0,0,4,4,3,INFJ,How long have you been friends with Ruairidh?,I've been friends with Ruairidh since I was 22,Do you have any shared friends with Lewis Cassidy?,No. Lewis and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Smith
40,Cody,Husband,-20,Male,57,0,0,3,4,8,ESTP,What happened to your right arm?,I lost my right arm when I was 31,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Stephen Smith,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Smith
41,Blake,Baird,-20,Male,84,0,0,4,4,6,INFP,Do you get along well with Kenneth?,I talked to Kenneth when I was 23 but we didn't work as friends,How long have you been friends with Katie?,I've been friends with Katie since I was 25,What happened to your left leg?,I burned my left leg when I was 68,What happened to your left leg?,I crippled my left leg when I was 75,Do you have any children?,I have 4 wonderful children!,Smith
42,Stephen,Mcauley,-20,Male,27,0,0,3,4,7,ISTP,Do you get along well with Richard?,I talked to Richard when I was 22 but we didn't work as friends,How long have you been friends with Kate?,I've been friends with Kate since I was 23,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Hayley Mclaren?,No. Hayley and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Farmer
43,Paul,Ralston,-20,Male,79,0,0,4,4,5,ISFP,What happened to your torso?,I scarred my torso when I was 28,What happened to your right leg?,I burned my right leg when I was 33,What happened to your left arm?,I scarred my left arm when I was 38,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Soldier
44,Zak,Caulfield,-20,Male,73,0,0,3,4,11,ENFJ,What happened to your left leg?,I burned my left leg when I was 46,What happened to your left arm?,I lost my left arm when I was 72,What happened to your left leg?,I scarred my left leg when I was 33,What happened to your left arm?,I scarred my left arm when I was 37,What happened to your left arm?,I burned my left arm when I was 44,Smith
45,Ruaridh,Mair,-20,Male,91,0,0,2,4,9,ISTP,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Hayley Mclaren,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Soldier
46,Josh,Priestley,-20,Male,74,0,0,4,4,12,ENFP,How old were you when you married Pamela?,I married Pamela when I was 21 and they were 21,What happened to your left leg?,I scarred my left leg when I was 34,What happened to your left leg?,I lost my left leg when I was 68,What happened to your torso?,I lost my torso when I was 74,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Smith
47,Harrison,Dalgleish,-20,Male,83,0,0,2,4,14,INFJ,Do you have any shared friends with Ann Stark?,No. Ann and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Soldier
48,Richard,Mutch,-20,Male,30,0,0,0,4,16,ENTJ,Who was your first friend?,My first friend was Mirren Hair,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Smith
49,Taylor,Stark,-20,Male,81,0,0,2,4,17,ENFP,How long have you been friends with Victoria?,I've been friends with Victoria since I was 21,What happened to your right leg?,I burned my right leg when I was 60,Do you have any shared friends with Pamela Priestley?,Yes. We have 1 shared friend, Victoria Stanners,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Farmer
50,Colin,Ingram,-20,Male,90,0,0,1,4,13,ESFP,How old were you when you married Catherine?,I married Catherine when I was 21 and they were 21,What happened to your left arm?,I burned my left arm when I was 46,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Lily Mccrory,Farmer
51,Jay,Hair,-20,Male,29,0,0,3,4,22,ESFJ,What happened to your torso?,I lost my torso when I was 29,Do you get along well with Ava?,I talked to Ava when I was 21 but we didn't work as friends,Do you get along well with Ruairidh?,I talked to Ruairidh when I was 24 but we didn't work as friends,What happened to your torso?,I scarred my torso when I was 25,Do you get along well with Katrina?,I talked to Katrina when I was 25 but we didn't work as friends,Farmer
52,Shay,Holt,-20,Male,76,0,0,0,4,18,INTP,How old were you when you married Frances?,I married Frances when I was 21 and they were 21,What happened to your left leg?,I burned my left leg when I was 68,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Soldier
53,Wesley,Hampson,-20,Male,73,0,0,4,4,15,ENFJ,What happened to your left leg?,I scarred my left leg when I was 21,What happened to your right arm?,I crippled my right arm when I was 32,What happened to your right leg?,I crippled my right leg when I was 45,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Marc Lang?,No. Marc and I don't share any friends,Farmer
54,Henry,Fay,-20,Male,67,0,0,4,4,19,ISFJ,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Lena Mair,Soldier
55,Zak,Morris,-20,Male,78,0,0,4,4,21,INTP,What happened to your torso?,I burned my torso when I was 57,What happened to your left arm?,I crippled my left arm when I was 70,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Soldier
56,Alfie,Mcrae,-20,Male,77,0,0,2,4,25,ESTJ,What happened to your left arm?,I scarred my left arm when I was 21,How long have you been friends with Stewart?,I've been friends with Stewart since I was 23,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Linsey Garner?,No. Linsey and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Soldier
57,Brodie,Mclaren,-20,Male,67,0,0,4,4,24,ISFP,Do you get along well with Carla?,I talked to Carla when I was 22 but we didn't work as friends,What happened to your right leg?,I scarred my right leg when I was 23,What happened to your torso?,I lost my torso when I was 67,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Farmer
58,Stewart,Little,-20,Male,83,0,0,2,4,23,ENTJ,Do you get along well with Ashley?,I talked to Ashley when I was 21 but we didn't work as friends,How long have you been friends with Cody?,I've been friends with Cody since I was 24,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Alfie Mcrae,Do you have any injuries to your head?,I've never had any serious injuries to my head,Soldier
59,Ruairidh,Bingham,-20,Male,79,0,0,5,4,26,INTP,What happened to your left leg?,I burned my left leg when I was 30,What happened to your right arm?,I burned my right arm when I was 41,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Soldier
60,Samuel,Niven,-20,Male,75,0,0,4,4,20,ENTP,How old were you when you married Clare?,I married Clare when I was 21 and they were 21,Do you have any shared friends with Wayne Stanners?,No. Wayne and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Farmer
61,Lewis,Cassidy,-20,Male,82,0,0,4,4,28,INFP,What happened to your right arm?,I scarred my right arm when I was 24,What happened to your right leg?,I burned my right leg when I was 28,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Riley Thomas,Do you have any injuries to your head?,I've never had any serious injuries to my head,Soldier
62,Kenneth,Duncanson,-20,Male,83,0,0,3,4,27,ESTP,What happened to your right arm?,I burned my right arm when I was 26,What happened to your right leg?,I burned my right leg when I was 30,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Soldier
63,Aaron,Ritchie,-20,Male,61,0,0,0,4,Single,ESFP,Do you have any shared friends with Lily Mccrory?,No. Lily and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Smith
64,Sam,Bates,-20,Male,92,0,0,2,4,30,INTJ,What happened to your right arm?,I burned my right arm when I was 29,What happened to your left leg?,I scarred my left leg when I was 40,Who was your first friend?,My first friend was Ava Morris,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Soldier
65,Charles,Grierson,-20,Male,74,0,0,2,4,32,INTJ,How long have you been friends with Matilda?,I've been friends with Matilda since I was 21,What happened to your left arm?,I scarred my left arm when I was 46,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Lily Mccrory?,No. Lily and I don't share any friends,Soldier
66,Bruce,Gault,-20,Male,75,0,0,0,4,Single,ESFP,What happened to your left leg?,I burned my left leg when I was 55,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Soldier
67,Cooper,Mcglone,-20,Male,54,0,0,0,4,Single,ISTP,What happened to your left arm?,I burned my left arm when I was 26,What happened to your right leg?,I crippled my right leg when I was 28,What happened to your left leg?,I lost my left leg when I was 43,What happened to your torso?,I burned my torso when I was 52,Who was your first friend?,My first friend was Zak Morris,Smith
68,Zak,Garner,-20,Male,85,0,0,1,4,29,ISFJ,What happened to your left leg?,I scarred my left leg when I was 44,What happened to your right leg?,I scarred my right leg when I was 51,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Soldier
69,Wayne,Stanners,-20,Male,68,0,0,4,4,31,ENTJ,What happened to your left leg?,I scarred my left leg when I was 39,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Lynne Caulfield?,No. Lynne and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Farmer
70,Ailsa,Priestley,2,Female,36,11,44,1,4,71,ENTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 73 when he died,Who was your first friend?,My first friend was Ruairidh Bingham,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Hazel who was born 6 years after me,Farmer
71,Wayne,Priestley,2,Male,80,12,46,1,4,70,ENFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I burned my left leg when I was 57,How old was your mother when she died?,My mother was 85 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Farmer
72,Shona,Husband,2,Female,79,17,49,2,4,80,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any shared friends with Eilidh Mutch?,No. Eilidh and I don't share any friends,Who were your parents?,My mother was Ann and my father was Taylor,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,Farmer
73,Aimee,Fay,3,Female,33,3,39,1,4,76,INFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I lost my left leg when I was 26,How old was your father when he died?,My father was 81 when he died,Who was your first friend?,My first friend was Wesley Hampson,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Patrick who was born 9 years after me,Farmer
74,Katrina,Bingham,3,Female,72,21,55,3,4,78,INFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 16,How old was your mother when she died?,My mother was 84 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Farmer
75,Carly,Lang,3,Female,85,25,56,3,4,82,ESTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I scarred my torso when I was 21,Do you have any shared friends with Kelsey Frame?,No. Kelsey and I don't share any friends,Who were your parents?,My mother was Wendy and my father was Alfie,How many friends do you have?,I have 4 friends,Farmer
76,Reece,Fay,4,Male,37,19,54,1,4,73,ISFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I lost my right leg when I was 31,What happened to your left leg?,I lost my left leg when I was 33,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 67 when he died,Farmer
77,Dawn,Dalgleish,4,Female,41,21,55,3,4,89,INTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I burned my torso when I was 27,What happened to your right arm?,I lost my right arm when I was 35,What happened to your torso?,I lost my torso when I was 41,Who was your first friend?,My first friend was Katrina Bingham,Farmer
78,Frankie,Bingham,4,Male,83,26,59,3,4,74,INTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I lost my right leg when I was 18,How old were you when you married Katrina?,I married Katrina when I was 18 and they were 19,What happened to your torso?,I crippled my torso when I was 27,What happened to your right arm?,I burned my right arm when I was 47,Farmer
79,Denise,Cassidy,4,Female,85,28,61,2,4,91,INFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I crippled my torso when I was 31,What happened to your right leg?,I crippled my right leg when I was 36,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Stephen who was born 4 years after me,How old was your mother when she died?,My mother was 86 when she died,Farmer
80,Alfie,Husband,5,Male,82,8,40,2,4,72,ESFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old were you when you married Shona?,I married Shona when I was 18 and they were 21,What happened to your torso?,I scarred my torso when I was 78,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Farmer
81,Gail,Mcauley,5,Female,23,26,59,0,4,104,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any shared friends with Alexandra Little?,No. Alexandra and I don't share any friends,Who were your parents?,My mother was Cora and my father was Ruairidh,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Farmer
82,Adrian,Lang,6,Male,35,1,36,3,4,75,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your father when he died?,My father was 77 when he died,Who was your first friend?,My first friend was Ailsa Priestley,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Shaun who was born 9 years after me,How old was your mother when she died?,My mother was 73 when she died,Farmer
