ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
10,Lily,Henderson,-20,Female,98,0,0,3,4,11,ESTJ,How long have you been friends with Jay?,I've been friends with Jay since I was 21,How long have you been friends with Ryan?,I've been friends with Ryan since I was 23,What happened to your right leg?,I burned my right leg when I was 31,What happened to your left leg?,I crippled my left leg when I was 64,What happened to your right arm?,I scarred my right arm when I was 76,Weaver,1
11,Ryan,Henderson,-20,Male,73,0,0,3,4,10,ENTJ,What happened to your right arm?,I lost my right arm when I was 43,What happened to your torso?,I crippled my torso when I was 46,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Richard Mcneil?,No. Richard and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Farmer,1
12,Allan,Mcshane,-20,Male,55,0,0,1,4,1,ENFJ,How long have you been friends with Gracie?,I've been friends with Gracie since I was 22,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ryan Henderson,Smith,1
13,Richard,Mcneil,-20,Male,65,0,0,2,4,3,ESFJ,How old were you when you married Gracie?,I married Gracie when I was 21 and they were 21,How long have you been friends with Max?,I've been friends with Max since I was 21,What happened to your right leg?,I scarred my right leg when I was 30,What happened to your torso?,I scarred my torso when I was 31,What happened to your right leg?,I crippled my right leg when I was 55,Farmer,1
14,Kian,Potter,-20,Male,67,0,0,4,4,6,INTJ,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Callum Kavanagh?,No. Callum and I don't share any friends,Farmer,1
15,Bryan,Syme,-20,Male,81,0,0,4,4,5,INFJ,Do you get along well with Kelsey?,I talked to Kelsey when I was 21 but we didn't work as friends,Do you get along well with Jay?,I talked to Jay when I was 23 but we didn't work as friends,What happened to your left arm?,I lost my left arm when I was 50,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Farmer,1
16,Cole,Merrilees,-20,Male,90,0,0,5,4,2,ENTP,How old were you when you married Katie?,I married Katie when I was 21 and they were 21,How long have you been friends with Katie?,I've been friends with Katie since I was 23,What happened to your right arm?,I scarred my right arm when I was 37,What happened to your right leg?,I scarred my right leg when I was 74,Do you have any siblings?,No. I'm an only child,Soldier,1
17,Max,Carty,-20,Male,79,0,0,2,4,8,ENFP,What happened to your right arm?,I burned my right arm when I was 45,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Richard Mcneil,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Farmer,1
18,Jay,Lambert,-20,Male,73,0,0,0,4,Single,ENTP,Do you get along well with Ava?,I talked to Ava when I was 23 but we didn't work as friends,What happened to your right leg?,I crippled my right leg when I was 58,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Stacy Carty?,No. Stacy and I don't share any friends,Soldier,1
19,Callum,Kavanagh,-20,Male,35,0,0,5,4,4,ISTJ,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Lena Mcmurray,Farmer,1
20,Bryan,Meldrum,-20,Male,72,0,0,0,4,Single,ENFP,Do you get along well with Gracie?,I talked to Gracie when I was 21 but we didn't work as friends,How long have you been friends with Kate?,I've been friends with Kate since I was 23,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I don't have any children,Farmer,1
21,Janet,Kavanagh,2,Female,17,4,19,0,4,Single,ISTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Kian Potter?,No. Kian and I don't share any friends,Who were your parents?,My mother was Kelsey and my father was Callum,How many friends do you have?,I have 4 friends,Farmer,2
22,Gillian,Merrilees,2,Female,94,6,14,1,4,24,INTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 67 when he died,Who was your first friend?,My first friend was Lena Mcmurray,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Finlay who was born 5 years after me,Weaver,2
23,Colin,Henderson,2,Male,79,10,11,3,4,25,ESTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old was your mother when she died?,My mother was 98 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Allan Mcshane?,No. Allan and I don't share any friends,Hunter,2
24,Gareth,Merrilees,3,Male,43,2,16,1,4,22,ENTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left arm?,I burned my left arm when I was 17,What happened to your torso?,I lost my torso when I was 43,Who were your parents?,My mother was Katie and my father was Cole,How many friends do you have?,I have 4 friends,Smith,2
25,Helen,Henderson,3,Female,94,4,19,3,4,23,ISTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How long have you been friends with Lily?,I've been friends with Lily since I was 5,What happened to your torso?,I crippled my torso when I was 8,How long have you been friends with Evelyn?,I've been friends with Evelyn since I was 10,What happened to your left arm?,I crippled my left arm when I was 11,Weaver,2
26,Elaine,Kavanagh,3,Female,82,5,15,5,4,31,ISFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 81 when he died,Who was your first friend?,My first friend was Bryan Syme,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Evelyn who was born 7 years after me,Housewife,2
27,Conner,Mcshane,6,Male,77,1,12,1,4,33,ENFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I burned my left arm when I was 21,What happened to your left leg?,I burned my left leg when I was 52,How old was your mother when she died?,My mother was 85 when she died,Do you have any children?,I just have the one child,Farmer,2
28,Ellis,Carty,6,Male,85,8,17,0,4,Single,ENFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I burned my right leg when I was 22,What happened to your left leg?,I burned my left leg when I was 39,What happened to your left arm?,I burned my left arm when I was 62,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Hunter,2
29,Gerald,Henderson,6,Male,32,10,11,0,4,Single,ESTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Do you have any shared friends with Gareth Merrilees?,No. Gareth and I don't share any friends,Who were your parents?,My mother was Lily and my father was Ryan,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Smith,2
30,Finlay,Potter,7,Male,74,6,14,0,4,Single,INTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 47,How old was your father when he died?,My father was 67 when he died,Who was your first friend?,My first friend was Gracie Mcneil,What is your eldest sibling's age?,My eldest sibling is Gillian who was born in the year 2,Soldier,2
31,Craig,Kavanagh,9,Male,78,4,19,5,4,26,ISTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your torso?,I burned my torso when I was 20,What happened to your left leg?,I burned my left leg when I was 45,How old was your mother when she died?,My mother was 83 when she died,Do you have any children?,I have 5 wonderful children!,Soldier,2
32,Evelyn,Mcneil,10,Female,83,5,15,1,4,34,ISFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Finlay Potter?,No. Finlay and I don't share any friends,Who were your parents?,My mother was Ashley and my father was Bryan,How many friends do you have?,I have 4 friends,Housewife,2
33,Jordan,Mcshane,13,Female,41,10,11,1,4,27,ENTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 17,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 73 when he died,Who was your first friend?,My first friend was Conner Mcshane,Farmer,2
34,Aiden,Mcneil,15,Male,79,3,13,1,4,32,ISFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right arm?,I crippled my right arm when I was 44,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Cole who was born 14 years after me,How old was your mother when she died?,My mother was 73 when she died,Do you have any children?,I just have the one child,Smith,2
35,Jon,Potter,15,Male,85,6,14,5,4,43,INTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I burned my right arm when I was 17,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Ellis Carty?,No. Ellis and I don't share any friends,Who were your parents?,My mother was Matilda and my father was Kian,Hunter,2
36,Neil,Potter,16,Male,82,6,14,2,4,39,INTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 36,What happened to your right arm?,I burned my right arm when I was 71,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Hunter,2
37,Calvin,Kavanagh,17,Male,79,4,19,0,4,Single,ISTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 18,What happened to your torso?,I crippled my torso when I was 21,How old was your father when he died?,My father was 35 when he died,Who was your first friend?,My first friend was Colin Henderson,Soldier,2
38,Charlotte,Carty,18,Female,79,2,16,1,4,40,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I burned my right leg when I was 41,What happened to your torso?,I burned my torso when I was 73,What happened to your right arm?,I crippled my right arm when I was 78,What is your eldest sibling's age?,My eldest sibling is Gareth who was born in the year 3,Farmer,2
39,Rosie,Potter,19,Female,71,5,15,2,4,36,INFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she died?,My mother was 78 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Jon Potter?,No. Jon and I don't share any friends,Weaver,2
40,Owen,Carty,19,Male,44,8,17,1,4,38,ESFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Who were your parents?,My mother was Stacy and my father was Max,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 79 when he died,Smith,2
41,Ronald,Syme,21,Male,79,5,15,0,4,Single,INFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who was your first friend?,My first friend was Aiden Mcneil,What is your eldest sibling's age?,My eldest sibling is Elaine who was born in the year 3,How old was your mother when she died?,My mother was 78 when she died,Do you have any children?,I don't have any children,Hunter,2
42,Jax,Merrilees,22,Male,77,22,24,3,4,44,INTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 21,How old was your mother when she had you?,My mother was 20 years old when she had me,Do you have any shared friends with Jordan Mcshane?,No. Jordan and I don't share any friends,Who were your parents?,My mother was Gillian and my father was Gareth,Hunter,3
43,Katherine,Potter,23,Female,75,2,16,5,4,35,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 90 when he died,Who was your first friend?,My first friend was Charlotte Carty,Weaver,2
44,Skye,Merrilees,24,Female,75,2,16,3,4,42,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 65,What is your eldest sibling's age?,My eldest sibling is Gareth who was born in the year 3,How old was your mother when she died?,My mother was 74 when she died,Do you have any children?,I have 3 wonderful children!,Housewife,2
45,Alastair,Henderson,24,Male,76,25,23,2,4,50,ESTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Lily?,I married Lily when I was 25 and they were 18,What happened to your right arm?,I crippled my right arm when I was 55,What happened to your right leg?,I scarred my right leg when I was 62,How old was your mother when she had you?,My mother was 21 years old when she had me,Hunter,3
46,Dean,Kavanagh,27,Male,43,4,19,0,4,Single,ISTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 16,What happened to your right arm?,I burned my right arm when I was 31,What happened to your right leg?,I burned my right leg when I was 37,What happened to your torso?,I lost my torso when I was 43,Smith,2
47,Donald,Merrilees,28,Male,23,2,16,0,3,Single,ENFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I crippled my torso when I was 17,What happened to your left arm?,I burned my left arm when I was 22,Do you have any shared friends with Ronald Syme?,No. Ronald and I don't share any friends,Who were your parents?,My mother was Katie and my father was Cole,Smith,2
48,Ryan,Henderson,28,Male,72,25,23,0,4,Single,ISTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your torso?,I scarred my torso when I was 17,What happened to your right leg?,I burned my right leg when I was 58,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Hunter,3
49,Cole,Mcneil,29,Male,71,3,13,0,4,Single,ISFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your father when he died?,My father was 65 when he died,Who was your first friend?,My first friend was Ronald Syme,What is your eldest sibling's age?,My eldest sibling is Aiden who was born in the year 15,How old was your mother when she died?,My mother was 73 when she died,Farmer,2
50,Lily,Henderson,30,Female,70,26,31,2,4,45,ISTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 27 years old when she had me,Do you have any shared friends with Dean Kavanagh?,No. Dean and I don't share any friends,Who were your parents?,My mother was Elaine and my father was Craig,Housewife,3
51,Struan,Kavanagh,33,Male,67,26,31,5,4,54,ISTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I burned my right arm when I was 37,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 78 when he died,Hunter,3
52,Hamish,Kavanagh,34,Male,66,26,31,0,4,Single,ISFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 25,Who was your first friend?,My first friend was Lily Henderson,What is your eldest sibling's age?,My eldest sibling is Lily who was born in the year 30,How old was your mother when she died?,My mother was 82 when she died,Hunter,3
53,Matthew,Henderson,37,Male,63,25,23,2,4,58,ESTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 34 years old when she had me,Do you have any shared friends with Skye Merrilees?,No. Skye and I don't share any friends,Who were your parents?,My mother was Helen and my father was Colin,Soldier,3
54,Maria,Kavanagh,39,Female,61,26,31,5,4,51,ISTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I burned my left leg when I was 19,What happened to your left arm?,I burned my left arm when I was 56,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Weaver,3
55,Adrian,Kavanagh,43,Male,38,26,31,0,4,Single,ISFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I lost my torso when I was 38,How old was your father when he died?,My father was 78 when he died,Who was your first friend?,My first friend was Maria Kavanagh,What is your eldest sibling's age?,My eldest sibling is Lily who was born in the year 30,Farmer,3
56,Mark,Mcneil,44,Male,56,32,34,0,4,Single,ISFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 31,How old was your mother when she died?,My mother was 83 when she died,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 34 years old when she had me,Smith,3
57,Kim,Potter,44,Female,56,43,35,0,4,Single,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Katherine Potter?,No. Katherine and I don't share any friends,Who were your parents?,My mother was Katherine and my father was Jon,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Weaver,3
58,Eva,Henderson,45,Female,55,33,27,2,4,53,ENTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your father when he died?,My father was 77 when he died,Who was your first friend?,My first friend was Maria Kavanagh,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 41 when she died,Weaver,3
59,Megan,Potter,48,Female,52,43,35,2,4,60,ENTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 25 years old when she had me,Do you have any shared friends with Kim Potter?,Yes. We have 2 friends shared. One of them is Brandon Potter,Who were your parents?,My mother was Katherine and my father was Jon,Farmer,3
60,Brandon,Potter,54,Male,46,43,35,2,4,59,INTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Kim Potter,Farmer,3
61,Stewart,Henderson,57,Male,36,50,45,0,4,Single,ESTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left leg?,I burned my left leg when I was 21,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Leon who was born 4 years after me,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I don't have any children,Smith,4
62,Gillian,Carty,58,Female,42,38,40,0,3,Single,ESFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she had you?,My mother was 40 years old when she had me,Do you have any shared friends with Mark Mcneil?,No. Mark and I don't share any friends,Who were your parents?,My mother was Charlotte and my father was Owen,How many friends do you have?,I have 3 friends,Housewife,3
63,Sofia,Potter,60,Female,40,39,36,0,4,Single,INFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 82 when he died,Who was your first friend?,My first friend was Brandon Potter,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Leigh who was born 3 years after me,Housewife,3
64,Sam,Merrilees,60,Male,40,44,42,0,4,Single,ENTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I burned my right leg when I was 29,How old was your mother when she died?,My mother was 75 when she died,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 36 years old when she had me,Hunter,4
65,Iain,Potter,61,Male,39,43,35,0,4,67,INTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Do you have any shared friends with Sam Merrilees?,No. Sam and I don't share any friends,Who were your parents?,My mother was Katherine and my father was Jon,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Smith,3
66,Leon,Henderson,61,Male,39,50,45,0,4,Single,ESTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 28,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Sam Merrilees,What is your eldest sibling's age?,My eldest sibling is Stewart who was born in the year 57,Soldier,4
67,Leigh,Potter,63,Female,37,39,36,0,4,65,INTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she died?,My mother was 71 when she died,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 44 years old when she had me,Do you have any shared friends with Brandon Potter?,Yes. We have 1 shared friend. It's Megan Potter,Weaver,3
68,Kian,Potter,64,Male,36,43,35,0,4,72,ENTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,Who were your parents?,My mother was Katherine and my father was Jon,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father is actually still alive,Soldier,3
69,Henry,Kavanagh,64,Male,36,54,51,0,4,Single,ISTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I scarred my torso when I was 16,Who was your first friend?,My first friend was Sofia Potter,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Roy who was born 4 years after me,How old was your mother when she died?,My mother is actually still alive,Smith,4
70,Roy,Kavanagh,68,Male,19,54,51,0,4,Single,ISTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 29 years old when she had me,Do you have any shared friends with Leon Henderson?,No. Leon and I don't share any friends,Who were your parents?,My mother was Maria and my father was Struan,Farmer,4
71,Jaxon,Kavanagh,69,Male,31,54,51,0,4,Single,ISTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Mark Mcneil,Soldier,4
72,Angela,Potter,72,Female,28,44,42,0,4,68,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 18,What is your eldest sibling's age?,My eldest sibling is Sam who was born in the year 60,How old was your mother when she died?,My mother was 75 when she died,Do you have any children?,I don't have any children,Housewife,4
73,Gillian,Merrilees,74,Female,26,44,42,0,4,Single,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she had you?,My mother was 50 years old when she had me,Do you have any shared friends with Stewart Henderson?,No. Stewart and I don't share any friends,Who were your parents?,My mother was Skye and my father was Jax,How many friends do you have?,I have 4 friends,Housewife,4
74,Ariana,Kavanagh,78,Female,22,54,51,0,4,Single,ISTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Roy Kavanagh,What is your eldest sibling's age?,My eldest sibling is Henry who was born in the year 64,Housewife,4
75,Aurora,Henderson,81,Female,19,58,53,0,4,Single,ENTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 36 years old when she had me,Do you have any shared friends with Jaxon Kavanagh?,Yes. We have 1 shared friend. It's Ariana Kavanagh,Housewife,4
76,Ruth,Potter,82,Female,18,59,60,0,4,Single,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who were your parents?,My mother was Megan and my father was Brandon,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father is actually still alive,Weaver,4
77,Olly,Kavanagh,85,Male,15,54,51,0,2,Single,ISTJ,Do you get along well with Ruth?,I talked to Ruth when I was 2 but we didn't work as friends,Do you get along well with Gillian?,I talked to Gillian when I was 6 but we didn't work as friends,Do you get along well with Angela?,I talked to Angela when I was 8 but we didn't work as friends,Do you get along well with Kyle?,I talked to Kyle when I was 15 but we didn't work as friends,Who was your first friend?,My first friend was Stewart Henderson,Child,4
78,Stewart,Henderson,92,Male,8,58,53,0,2,Single,ENTJ,How long have you been friends with Olly?,I've been friends with Olly since I was 1,What is your eldest sibling's age?,My eldest sibling is Aurora who was born in the year 81,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I'm a little young to be having children don't you think?,How old was your mother when she had you?,My mother was 47 years old when she had me,Child,4
79,Kyle,Potter,93,Male,7,59,60,0,2,Single,ENTP,How long have you been friends with Gillian?,I've been friends with Gillian since I was 5,Do you have any shared friends with Ruth Potter?,No. Ruth and I don't share any friends,Who were your parents?,My mother was Megan and my father was Brandon,How many friends do you have?,I don't have any friends,Do you have any siblings?,Yes. but I only have one sibling,Child,4
