ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job
11,Lynne,Harkness,-20,Female,73,0,0,3,4,34,ENTJ,What happened to your right arm?,I burned my right arm when I was 57,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Wendy Mccrory,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Weaver
12,Pamela,Laird,-20,Female,78,0,0,4,4,32,ENFJ,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Taylor Stark?,No. Taylor and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Weaver
13,Catherine,Mccrory,-20,Female,80,0,0,3,4,37,ESFJ,Do you get along well with Blake?,I talked to Blake when I was 21 but we didn't work as friends,How long have you been friends with Hayley?,I've been friends with Hayley since I was 22,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Lily Bissett,Weaver
14,Shannon,Thomas,-20,Female,83,0,0,3,4,39,INTJ,What happened to your right leg?,I burned my right leg when I was 34,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Weaver
15,Shelley,Caulfield,-20,Female,84,0,0,5,4,44,INFJ,What happened to your torso?,I scarred my torso when I was 72,Do you have any shared friends with Richard Mutch?,No. Richard and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Weaver
16,Eilidh,Smith,-20,Female,78,0,0,4,4,35,ENTP,How long have you been friends with Richard?,I've been friends with Richard since I was 21,What happened to your torso?,I scarred my torso when I was 76,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Katie Farrell,Do you have any injuries to your head?,I've never had any serious injuries to my head,Housewife
17,Ann,Priestley,-20,Female,92,0,0,2,4,46,ENFP,How long have you been friends with Paul?,I've been friends with Paul since I was 22,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Eilidh Smith?,No. Eilidh and I don't share any friends,Housewife
18,Frances,Husband,-20,Female,73,0,0,4,4,40,ENTP,Do you get along well with George?,I talked to George when I was 21 but we didn't work as friends,Do you get along well with Marc?,I talked to Marc when I was 22 but we didn't work as friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Housewife
19,Audrey,Mcauley,-20,Female,81,0,0,1,4,42,ISTJ,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Gracie Plunkett,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Housewife
20,Clare,Stark,-20,Female,87,0,0,0,4,49,ENFP,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with William Frame?,No. William and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Housewife
21,Ava,Ralston,-20,Female,73,0,0,4,4,43,INFP,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Paul Ralston,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Housewife
22,Mirren,Mutch,-20,Female,80,0,0,5,4,48,ESTJ,What happened to your right arm?,I scarred my right arm when I was 37,What happened to your left leg?,I crippled my left leg when I was 61,What happened to your torso?,I scarred my torso when I was 76,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Shannon Thomas?,No. Shannon and I don't share any friends,Weaver
23,Alexandra,Waters,-20,Female,78,0,0,0,4,Single,ENTP,What happened to your right leg?,I scarred my right leg when I was 75,What happened to your left arm?,I burned my left arm when I was 77,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Weaver
24,Hayley,Mair,-20,Female,74,0,0,3,4,45,ISFP,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Marc Lang,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 3 wonderful children!,Housewife
25,Wendy,Mccrory,-20,Female,79,0,0,0,4,102,ISTJ,How long have you been friends with Lena?,I've been friends with Lena since I was 21,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Lena Frame?,No. Lena and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Weaver
26,Luke,Brodie,-20,Male,54,0,0,5,4,4,ISTP,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ashley Copland,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Farmer
27,Conor,Walsh,-20,Male,31,0,0,1,4,1,ESTJ,How long have you been friends with Greig?,I've been friends with Greig since I was 26,What happened to your torso?,I lost my torso when I was 31,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Lily Bissett?,No. Lily and I don't share any friends,Smith
28,Stuart,Plunkett,-20,Male,73,0,0,3,4,3,ISFP,What happened to your torso?,I crippled my torso when I was 28,What happened to your left leg?,I burned my left leg when I was 55,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Farmer
29,George,Copland,-20,Male,75,0,0,4,4,5,ISFJ,How old were you when you married Ashley?,I married Ashley when I was 21 and they were 21,What happened to your right arm?,I burned my right arm when I was 36,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Zak Caulfield,Do you have any injuries to your head?,I've never had any serious injuries to my head,Soldier
30,Greg,Shankland,-20,Male,31,0,0,2,3,6,INTJ,How long have you been friends with Gracie?,I've been friends with Gracie since I was 24,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Ruaridh Mair?,No. Ruaridh and I don't share any friends,Farmer
31,Richard,Farrell,-20,Male,80,0,0,2,4,2,ENFJ,What happened to your torso?,I burned my torso when I was 22,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Farmer
32,Aaron,Laird,-20,Male,82,0,0,4,4,12,INFJ,Who was your first friend?,My first friend was Stuart Plunkett,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Soldier
33,Shaun,Bissett,-20,Male,70,0,0,5,4,10,ESTJ,Do you get along well with Paul?,I talked to Paul when I was 23 but we didn't work as friends,What happened to your torso?,I burned my torso when I was 39,What happened to your left leg?,I burned my left leg when I was 57,Do you have any shared friends with Shannon Thomas?,No. Shannon and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Soldier
34,Grayson,Harkness,-20,Male,79,0,0,3,4,11,ENFJ,What happened to your right leg?,I burned my right leg when I was 58,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Stephen Smith,Farmer
35,Stephen,Smith,-20,Male,87,0,0,4,4,16,ENTP,How long have you been friends with Ruaridh?,I've been friends with Ruaridh since I was 21,What happened to your left arm?,I scarred my left arm when I was 23,What happened to your left arm?,I burned my left arm when I was 85,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Soldier
36,Marc,Lang,-20,Male,74,0,0,4,4,8,ESFJ,What happened to your right leg?,I scarred my right leg when I was 21,What happened to your left arm?,I burned my left arm when I was 38,What happened to your right arm?,I scarred my right arm when I was 71,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Farmer
37,Matthew,Mccrory,-20,Male,80,0,0,3,4,13,ESTJ,What happened to your right leg?,I crippled my right leg when I was 51,Do you have any shared friends with Kelsey Brodie?,Yes. We have 1 shared friend, Luke Brodie,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Soldier
38,William,Frame,-20,Male,77,0,0,1,4,9,ESTP,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Clare Stark,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I just have the one child,Farmer
39,Riley,Thomas,-20,Male,86,0,0,3,4,14,INFJ,What happened to your left arm?,I burned my left arm when I was 42,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Harrison Dalgleish?,No. Harrison and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Smith
40,Cody,Husband,-20,Male,29,0,0,4,4,18,ESTP,Do you get along well with Riley?,I talked to Riley when I was 22 but we didn't work as friends,What happened to your torso?,I lost my torso when I was 29,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Mirren Mutch,Smith
41,Blake,Baird,-20,Male,58,0,0,2,4,7,INFP,What happened to your torso?,I scarred my torso when I was 29,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Smith
42,Stephen,Mcauley,-20,Male,61,0,0,1,4,19,ISTP,What happened to your torso?,I burned my torso when I was 35,What happened to your left leg?,I scarred my left leg when I was 37,What happened to your torso?,I lost my torso when I was 61,Do you have any shared friends with Shaun Bissett?,No. Shaun and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,Farmer
43,Paul,Ralston,-20,Male,80,0,0,4,4,21,ISFP,What happened to your left arm?,I scarred my left arm when I was 35,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Ava Ralston,Soldier
44,Zak,Caulfield,-20,Male,70,0,0,5,4,15,ENFJ,What happened to your right leg?,I burned my right leg when I was 25,What happened to your torso?,I burned my torso when I was 50,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 5 wonderful children!,Smith
45,Ruaridh,Mair,-20,Male,82,0,0,3,4,24,ISTP,What happened to your left leg?,I scarred my left leg when I was 26,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Mirren Mutch?,No. Mirren and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Soldier
46,Josh,Priestley,-20,Male,69,0,0,2,4,17,ENFP,How long have you been friends with Ava?,I've been friends with Ava since I was 24,What happened to your torso?,I scarred my torso when I was 27,What happened to your left leg?,I scarred my left leg when I was 44,What happened to your torso?,I burned my torso when I was 46,Do you have any siblings?,No. I'm an only child,Smith
47,Harrison,Dalgleish,-20,Male,70,0,0,0,4,Single,INFJ,How long have you been friends with Clare?,I've been friends with Clare since I was 22,What happened to your right leg?,I scarred my right leg when I was 44,How old was your father when he died?,My father was 99 when he died,Who was your first friend?,My first friend was Riley Thomas,Do you have any injuries to your head?,I've never had any serious injuries to my head,Soldier
48,Richard,Mutch,-20,Male,80,0,0,5,4,22,ENTJ,What happened to your torso?,I lost my torso when I was 80,How old was your mother when she died?,My mother was 99 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Lily Bissett?,No. Lily and I don't share any friends,Smith
49,Taylor,Stark,-20,Male,76,0,0,0,4,20,ENFP,Do you get along well with Conor?,I talked to Conor when I was 22 but we didn't work as friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 99 when he died,Farmer
50,Colin,Ingram,-20,Male,81,0,0,0,4,Single,ESFP,What happened to your torso?,I scarred my torso when I was 47,What happened to your torso?,I burned my torso when I was 76,Who was your first friend?,My first friend was Kate Baird,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 99 when she died,Farmer
51,Rowan,Copland,2,Female,62,13,37,3,4,57,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Riley Thomas?,No. Riley and I don't share any friends,Who were your parents?,My mother was Catherine and my father was Matthew,Farmer
52,Rachael,Farrell,2,Female,87,17,46,2,4,56,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 69 when he died,Who was your first friend?,My first friend was Ava Ralston,Farmer
53,Arlene,Plunkett,3,Female,38,4,26,1,4,63,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 23,What happened to your right arm?,I lost my right arm when I was 36,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Carly who was born 1 years after me,How old was your mother when she died?,My mother was 71 when she died,Farmer
54,Eilidh,Mair,3,Female,73,8,36,2,4,71,ESFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Stephen Smith?,No. Stephen and I don't share any friends,Who were your parents?,My mother was Stacy and my father was Marc,Farmer
55,Carly,Mair,4,Female,18,4,26,0,4,69,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 54 when he died,Who was your first friend?,My first friend was Shaun Bissett,Farmer
56,Gabriel,Farrell,5,Male,81,2,31,2,4,52,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old were you when you married Rachael?,I married Rachael when I was 18 and they were 21,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Innes who was born 4 years after me,How old was your mother when she died?,My mother was 77 when she died,Do you have any children?,I have 2 wonderful children!,Farmer
57,Greig,Copland,5,Male,28,5,29,3,4,51,ISFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I lost my right leg when I was 21,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Conor Walsh?,No. Conor and I don't share any friends,Who were your parents?,My mother was Ashley and my father was George,Farmer
58,Corey,Baird,5,Male,74,7,41,3,4,66,INFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I burned my right leg when I was 54,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 58 when he died,Farmer
59,Wendy,Husband,5,Female,33,10,33,0,4,74,ESTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Who was your first friend?,My first friend was Marc Lang,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Sienna who was born 1 years after me,How old was your mother when she died?,My mother was 85 when she died,Do you have any children?,I don't have any children,Farmer
60,Linda,Mutch,5,Female,59,16,35,2,4,75,ENTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 23,What happened to your right leg?,I scarred my right leg when I was 26,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Taylor Stark?,No. Taylor and I don't share any friends,Farmer
61,Shannon,Husband,5,Female,65,18,40,3,4,77,ESTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I lost my torso when I was 65,Who were your parents?,My mother was Frances and my father was Cody,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Farmer
62,Gregor,Ralston,5,Male,70,21,43,5,4,76,INFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old was your father when he died?,My father was 80 when he died,Who was your first friend?,My first friend was Stephen Mcauley,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Aimee who was born 13 years after me,How old was your mother when she died?,My mother was 73 when she died,Soldier
63,Frank,Plunkett,6,Male,79,3,28,1,4,53,ISFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Gregor Ralston?,No. Gregor and I don't share any friends,Who were your parents?,My mother was Gracie and my father was Stuart,Hunter
64,Sienna,Mutch,6,Female,76,10,33,2,4,83,ESTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 70 when he died,Who was your first friend?,My first friend was Shaun Bissett,Housewife
65,Alana,Farrell,6,Female,89,12,32,3,4,70,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Joanna who was born 4 years after me,How old was your mother when she died?,My mother was 78 when she died,Do you have any children?,I have 3 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Housewife
66,Linzi,Baird,7,Female,69,7,41,3,4,58,INFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Shannon Thomas?,No. Shannon and I don't share any friends,Who were your parents?,My mother was Kate and my father was Blake,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,Weaver
67,Marion,Harkness,7,Female,76,15,44,4,4,78,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your father when he died?,My father was 70 when he died,Who was your first friend?,My first friend was Gabriel Farrell,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Lacey who was born 5 years after me,How old was your mother when she died?,My mother was 84 when she died,Weaver
68,Miley,Smith,8,Female,84,11,34,5,4,80,ENTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 22,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Caitlin Ralston?,No. Caitlin and I don't share any friends,Farmer
69,Graeme,Mair,8,Male,79,24,45,0,4,55,ISTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 24,What happened to your left arm?,I burned my left arm when I was 79,Who were your parents?,My mother was Hayley and my father was Ruaridh,How many friends do you have?,I have 4 friends,Hunter
70,Innes,Farrell,9,Male,72,2,31,3,4,65,ENFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right arm?,I lost my right arm when I was 70,What happened to your torso?,I lost my torso when I was 72,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 80 when he died,Hunter
71,Declan,Mair,9,Male,63,24,45,2,4,54,ISFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old were you when you married Eilidh?,I married Eilidh when I was 18 and they were 24,What happened to your left leg?,I scarred my left leg when I was 26,What happened to your torso?,I lost my torso when I was 63,Who was your first friend?,My first friend was Shannon Husband,Smith
72,Mandy,Bissett,10,Female,45,8,36,3,4,85,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I lost my left arm when I was 38,What happened to your right arm?,I lost my right arm when I was 41,What is your eldest sibling's age?,My eldest sibling is Eilidh who was born 73 years old,How old was your mother when she died?,My mother was 84 when she died,Farmer
73,Joanna,Caulfield,10,Female,73,12,32,5,4,81,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 18,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Richard Farrell?,No. Richard and I don't share any friends,Weaver
74,Ronan,Husband,10,Male,23,18,40,0,4,59,ESTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Who were your parents?,My mother was Frances and my father was Cody,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 29 when he died,Smith
75,Steven,Mutch,10,Male,45,22,48,2,4,60,ENTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who was your first friend?,My first friend was Rachael Farrell,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Kai who was born 3 years after me,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I have 2 wonderful children!,Hunter
76,Caitlin,Ralston,11,Female,85,14,39,5,4,62,INFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Miley Smith?,No. Miley and I don't share any friends,Who were your parents?,My mother was Shannon and my father was Riley,How many friends do you have?,I have 4 friends,Weaver
77,Bryan,Husband,11,Male,27,18,40,3,4,61,ESTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 29 when he died,Who was your first friend?,My first friend was Shannon Husband,What is your eldest sibling's age?,My eldest sibling is Shannon who was born 65 years old,Smith
78,Iain,Harkness,12,Male,77,11,34,4,4,67,ENFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 22,What happened to your right leg?,I lost my right leg when I was 59,How old was your mother when she died?,My mother was 73 when she died,Do you have any children?,I have 4 wonderful children!,Farmer
79,Lacey,Copland,12,Female,83,15,44,1,4,95,INFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Steven Mutch?,No. Steven and I don't share any friends,Who were your parents?,My mother was Shelley and my father was Zak,How many friends do you have?,I have 4 friends,Weaver
80,Justin,Smith,12,Male,82,16,35,5,4,68,ENTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 87 when he died,Who was your first friend?,My first friend was Miley Smith,What is your eldest sibling's age?,My eldest sibling is Linda who was born 59 years old,Soldier
81,Grant,Caulfield,13,Male,37,15,44,5,4,73,INFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your mother when she died?,My mother was 84 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Charlie Mutch?,No. Charlie and I don't share any friends,Farmer
82,Kirsty,Brodie,13,Female,81,19,42,4,4,84,ISTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 25,What happened to your left arm?,I crippled my left arm when I was 67,Who were your parents?,My mother was Audrey and my father was Stephen,How many friends do you have?,I have 4 friends,Weaver
83,Kai,Mutch,13,Male,21,22,48,2,4,64,ENTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 80 when he died,Who was your first friend?,My first friend was Lacey Copland,What is your eldest sibling's age?,My eldest sibling is Steven who was born 45 years old,Smith
