ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job,Gen
20,Bryan,Meldrum,-20,Male,90,0,0,0,4,Single,ENFP,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Matilda Potter?,No. Matilda and I don't share any friends,Who were your parents?,My mother was Fimbultyr and my father was Fimbultyr,How many friends do you have?,I have 4 friends,Farmer,1
21,Darcy,Kavanagh,2,Female,76,4,19,3,4,28,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 27 when he died,Who was your first friend?,My first friend was Callum Kavanagh,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Zac who was born 5 years after me,Farmer,2
22,Dawn,Henderson,2,Female,20,10,11,0,4,25,ENTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your mother when she died?,My mother was 77 when she died,Do you have any children?,I don't have any children,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Bryan Syme?,No. Bryan and I don't share any friends,Farmer,2
23,Derek,Mcneil,3,Male,86,3,13,2,4,26,ISFJ,What happened to your left arm?,I crippled my left arm when I was 68,What happened to your right leg?,I scarred my right leg when I was 19,How old were you when you married Rachael?,I married Rachael when I was 22 and they were 18,What happened to your left arm?,I burned my left arm when I was 57,What happened to your right leg?,I burned my right leg when I was 64,Hunter,2
24,Wesley,Mcneil,4,Male,75,3,13,5,4,27,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your torso?,I burned my torso when I was 75,Who were your parents?,My mother was Gracie and my father was Richard,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Soldier,2
25,Anthony,Henderson,5,Male,87,10,11,0,4,22,ENTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old was your father when he died?,My father was 74 when he died,Who was your first friend?,My first friend was Matilda Potter,What is your eldest sibling's age?,My eldest sibling is Dawn who was born in the year 2,How old was your mother when she died?,My mother was 77 when she died,Soldier,2
26,Rachael,Mcneil,6,Female,73,5,15,2,4,23,ISFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left arm?,I crippled my left arm when I was 69,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Lily Henderson?,No. Lily and I don't share any friends,Weaver,2
27,Carla,Mcneil,6,Female,70,10,11,5,4,24,ESTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I crippled my left leg when I was 46,Who were your parents?,My mother was Lily and my father was Ryan,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Weaver,2
28,Zac,Kavanagh,7,Male,18,4,19,3,3,21,ISTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old was your father when he died?,My father was 27 when he died,Who was your first friend?,My first friend was Rachael Mcneil,What is your eldest sibling's age?,My eldest sibling is Darcy who was born in the year 2,How old was your mother when she died?,My mother was 75 when she died,Smith,2
29,Kelly,Merrilees,8,Female,74,2,16,1,4,31,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Jay Lambert?,No. Jay and I don't share any friends,Who were your parents?,My mother was Katie and my father was Cole,Farmer,2
30,Ellis,Mcneil,8,Male,73,3,13,0,4,Single,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I burned my left leg when I was 34,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 56 when he died,Soldier,2
31,Kristopher,Merrilees,9,Male,72,2,16,1,4,29,ENFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right arm?,I burned my right arm when I was 26,What happened to your right arm?,I crippled my right arm when I was 43,What happened to your left arm?,I scarred my left arm when I was 62,What happened to your left leg?,I lost my left leg when I was 70,Smith,2
32,Alastair,Potter,10,Male,58,6,14,4,4,34,INTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Ruth?,I married Ruth when I was 20 and they were 18,Who was your first friend?,My first friend was Ruth Potter,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Ruth who was born 1 years after me,How old was your mother when she died?,My mother was 80 when she died,Soldier,2
33,Zara,Mcshane,11,Female,75,1,12,1,4,40,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Anthony Henderson?,Yes. We have 1 shared friend. It's Kristopher Merrilees,Who were your parents?,My mother was Ava and my father was Allan,Weaver,2
34,Ruth,Potter,11,Female,75,6,14,4,4,32,INTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I burned my right arm when I was 37,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 75 when he died,Weaver,2
35,Jodie,Merrilees,11,Female,73,8,17,0,4,46,ENFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who was your first friend?,My first friend was Dawn Henderson,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Ellis who was born 15 years after me,How old was your mother when she died?,My mother was 81 when she died,Do you have any children?,I don't have any children,Housewife,2
36,Amelia,Mcneil,13,Female,76,1,12,1,4,37,ESFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Do you have any shared friends with Bryan Syme?,No. Bryan and I don't share any friends,Who were your parents?,My mother was Ava and my father was Allan,How many friends do you have?,I have 4 friends,Weaver,2
37,Brandon,Mcneil,13,Male,71,3,13,1,4,36,ISFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 39,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 56 when he died,Who was your first friend?,My first friend was Ashley Syme,Soldier,2
38,Gayle,Syme,14,Female,58,1,12,2,4,45,ENFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Zara who was born in the year 11,How old was your mother when she died?,My mother was 88 when she died,Do you have any children?,I have 2 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Farmer,2
39,Theodore,Potter,14,Male,34,6,14,3,4,42,INTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left arm?,I scarred my left arm when I was 31,Do you have any shared friends with Ryan Henderson?,No. Ryan and I don't share any friends,Who were your parents?,My mother was Matilda and my father was Kian,How many friends do you have?,I have 4 friends,Smith,2
40,Hamish,Mcshane,16,Male,69,1,12,1,4,33,ENFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 82 when he died,Who was your first friend?,My first friend was Ellis Mcneil,What is your eldest sibling's age?,My eldest sibling is Zara who was born in the year 11,Hunter,2
41,Laila,Henderson,17,Female,71,1,12,5,4,43,ESFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 69,How old was your mother when she died?,My mother was 88 when she died,Do you have any children?,I have 5 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an extrovert,Weaver,2
42,Niamh,Potter,18,Female,80,2,16,3,4,39,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any shared friends with Jodie Merrilees?,No. Jodie and I don't share any friends,Who were your parents?,My mother was Katie and my father was Cole,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Housewife,2
43,John,Henderson,20,Male,78,10,11,5,4,41,ESTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I burned my right arm when I was 48,How old was your father when he died?,My father was 74 when he died,Who was your first friend?,My first friend was Carla Mcneil,What is your eldest sibling's age?,My eldest sibling is Dawn who was born in the year 2,Soldier,2
44,Kyle,Potter,21,Male,79,6,14,4,4,47,INTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Niamh Potter?,No. Niamh and I don't share any friends,Smith,2
45,Shaun,Syme,22,Male,76,5,15,2,4,38,INFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left arm?,I burned my left arm when I was 41,What happened to your right arm?,I burned my right arm when I was 66,Who were your parents?,My mother was Ashley and my father was Bryan,How many friends do you have?,I have 4 friends,Smith,2
46,Keir,Merrilees,23,Male,76,2,16,0,4,35,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 78 when he died,Who was your first friend?,My first friend was Zara Mcshane,What is your eldest sibling's age?,My eldest sibling is Kelly who was born in the year 8,Farmer,2
47,Ann,Potter,24,Female,76,6,14,4,4,44,INTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she died?,My mother was 80 when she died,Do you have any children?,I have 4 wonderful children!,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Do you have any shared friends with Brandon Mcneil?,No. Brandon and I don't share any friends,Housewife,2
48,Caitlyn,Mcneil,25,Female,75,3,13,1,4,53,ESFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who were your parents?,My mother was Gracie and my father was Richard,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 56 when he died,Weaver,2
49,Ellis,Carty,26,Male,74,8,17,0,4,Single,ENFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I burned my right leg when I was 23,What happened to your torso?,I scarred my torso when I was 24,Who was your first friend?,My first friend was Theodore Potter,What is your eldest sibling's age?,My eldest sibling is Jodie who was born in the year 11,Hunter,2
50,Carla,Kavanagh,29,Female,69,4,19,1,4,51,ISTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 30,How old was your mother when she died?,My mother was 75 when she died,Do you have any children?,I just have the one child,Would you say you're more of an introvert or an extrovert?,I think I'm more of an introvert,Weaver,2
51,Owen,Kavanagh,29,Male,41,21,28,1,4,50,ISTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left leg?,I burned my left leg when I was 28,What happened to your left arm?,I lost my left arm when I was 31,Do you have any shared friends with Derek Mcneil?,No. Derek and I don't share any friends,Who were your parents?,My mother was Darcy and my father was Zac,Smith,3
52,Jill,Kavanagh,31,Female,69,21,28,0,4,Single,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I lost my left arm when I was 38,What happened to your right leg?,I lost my right leg when I was 45,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,Farmer,3
53,Kevin,Mcneil,32,Male,68,26,23,1,4,48,ISFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your left arm?,I burned my left arm when I was 33,How old was your father when he died?,My father was 86 when he died,Who was your first friend?,My first friend was Shaun Syme,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Charles who was born 16 years after me,Hunter,3
54,Calvin,Mcneil,33,Male,67,27,24,0,4,56,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Michelle?,I married Michelle when I was 24 and they were 18,What happened to your left leg?,I burned my left leg when I was 53,How old was your mother when she died?,My mother was 70 when she died,Do you have any children?,I don't have any children,Soldier,3
55,Anthony,Mcneil,37,Male,60,27,24,5,4,57,ESTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I crippled my torso when I was 19,What happened to your torso?,I lost my torso when I was 60,How old was your mother when she had you?,My mother was 31 years old when she had me,Do you have any shared friends with Calvin Mcneil?,No. Calvin and I don't share any friends,Farmer,3
56,Michelle,Mcneil,38,Female,37,27,24,0,4,54,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Who were your parents?,My mother was Carla and my father was Wesley,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 75 when he died,Farmer,3
57,Ciara,Mcneil,39,Female,61,41,43,5,4,55,ESTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your torso?,I scarred my torso when I was 28,Who was your first friend?,My first friend was Gayle Syme,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Sharon who was born 10 years after me,How old was your mother when she died?,My mother was 71 when she died,Housewife,3
58,Sonny,Potter,44,Male,56,47,44,3,4,61,INTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Do you have any children?,I have 3 wonderful children!,How old was your mother when she had you?,My mother was 20 years old when she had me,Do you have any shared friends with Ciara Mcneil?,No. Ciara and I don't share any friends,Who were your parents?,My mother was Ann and my father was Kyle,Hunter,3
59,Martyn,Mcneil,45,Male,45,27,24,1,4,63,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I burned my torso when I was 18,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 75 when he died,Farmer,3
60,Faith,Merrilees,46,Female,54,29,31,0,4,Single,ENFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who was your first friend?,My first friend was Ruth Potter,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 74 when she died,Do you have any children?,I don't have any children,Weaver,3
61,Nicole,Potter,46,Female,54,34,32,3,4,58,INTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she had you?,My mother was 35 years old when she had me,Do you have any shared friends with Norman Potter?,Yes. We have 1 shared friend. It's Amanda Potter,Who were your parents?,My mother was Ruth and my father was Alastair,How many friends do you have?,I have 4 friends,Housewife,3
62,Shelley,Potter,47,Female,53,21,28,4,4,66,ISTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 30,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 18 when he died,Who was your first friend?,My first friend was Leo Potter,Housewife,3
63,Ellie,Mcneil,47,Female,53,38,45,1,4,59,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Peter who was born 14 years after me,How old was your mother when she died?,My mother was 58 when she died,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 33 years old when she had me,Weaver,3
64,Charles,Mcneil,48,Male,33,26,23,2,4,65,ISFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any shared friends with Owen Kavanagh?,Yes. We have 1 shared friend. It's Kevin Mcneil,Who were your parents?,My mother was Rachael and my father was Derek,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,Farmer,3
65,Sharon,Mcneil,49,Female,51,41,43,2,4,64,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your father when he died?,My father was 78 when he died,Who was your first friend?,My first friend was Ellie Mcneil,What is your eldest sibling's age?,My eldest sibling is Ciara who was born in the year 39,How old was your mother when she died?,My mother was 71 when she died,Housewife,3
66,Norman,Potter,50,Male,50,34,32,4,4,62,INTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old were you when you married Shelley?,I married Shelley when I was 18 and they were 21,Do you have any children?,I have 4 wonderful children!,How old was your mother when she had you?,My mother was 39 years old when she had me,Do you have any shared friends with Nicole Potter?,Yes. We have 1 shared friend. It's Amanda Potter,Smith,3
67,Leah,Mcneil,51,Female,49,41,43,2,4,73,ESTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Who were your parents?,My mother was Laila and my father was John,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 78 when he died,Housewife,3
68,Amanda,Potter,51,Female,49,42,39,1,4,70,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 25,Who was your first friend?,My first friend was Leah Mcneil,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Matilda who was born 5 years after me,How old was your mother when she died?,My mother was 80 when she died,Weaver,3
69,Miley,Potter,52,Female,48,34,32,5,4,72,INTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I have 5 wonderful children!,How old was your mother when she had you?,My mother was 41 years old when she had me,Do you have any shared friends with Faith Merrilees?,Yes. We have 1 shared friend. It's Norman Potter,Who were your parents?,My mother was Ruth and my father was Alastair,Housewife,3
70,Leo,Potter,53,Male,47,34,32,1,4,68,INTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 58 when he died,Who was your first friend?,My first friend was Joshua Potter,Hunter,3
71,Lorraine,Mcneil,53,Female,47,41,43,2,4,77,ESTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Ciara who was born in the year 39,How old was your mother when she died?,My mother was 71 when she died,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 36 years old when she had me,Weaver,3
72,Joshua,Potter,53,Male,47,47,44,5,4,69,INTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,Do you have any shared friends with Leo Potter?,No. Leo and I don't share any friends,Who were your parents?,My mother was Ann and my father was Kyle,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Soldier,3
73,Reece,Mcneil,56,Male,44,27,24,2,4,67,ESTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Leah?,I married Leah when I was 18 and they were 23,What happened to your right arm?,I scarred my right arm when I was 27,How old was your father when he died?,My father was 75 when he died,Who was your first friend?,My first friend was Shelley Potter,Hunter,3
74,Matilda,Potter,56,Female,44,42,39,1,4,81,INTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 16,What happened to your left arm?,I burned my left arm when I was 27,What is your eldest sibling's age?,My eldest sibling is Amanda who was born in the year 51,How old was your mother when she died?,My mother was 80 when she died,Weaver,3
75,Susan,Henderson,58,Female,40,41,43,0,4,Single,ESTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I burned my torso when I was 38,What happened to your torso?,I lost my torso when I was 40,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 41 years old when she had me,Farmer,3
76,Morag,Syme,60,Female,40,33,40,2,4,78,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Charles Mcneil?,No. Charles and I don't share any friends,Who were your parents?,My mother was Zara and my father was Hamish,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,Weaver,3
77,Callan,Mcneil,60,Male,40,48,53,2,4,71,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Susan Henderson,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother is actually still alive,Hunter,4
78,Peter,Syme,61,Male,39,38,45,2,4,76,INFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your torso?,I scarred my torso when I was 31,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 47 years old when she had me,Do you have any shared friends with Sharon Mcneil?,No. Sharon and I don't share any friends,Soldier,3
79,Linda,Kavanagh,62,Female,38,47,44,1,4,84,INTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who were your parents?,My mother was Ann and my father was Kyle,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father is actually still alive,Weaver,3
80,Debbie,Mcneil,63,Female,37,36,37,3,4,85,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,Who was your first friend?,My first friend was Sharon Mcneil,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 76 when she died,Do you have any children?,I have 3 wonderful children!,Farmer,3
81,Muhammad,Potter,63,Male,37,42,39,1,4,74,ENTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 16,What happened to your right arm?,I burned my right arm when I was 23,How old was your mother when she had you?,My mother was 45 years old when she had me,Do you have any shared friends with Joshua Potter?,No. Joshua and I don't share any friends,Hunter,3
